ScientificName,AphiaID,Match type,ScientificName,Taxon status,AphiaID_accepted,ScientificName_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies
Stypopodium schimperi,145391,exact,Stypopodium schimperi,accepted,145391,Stypopodium schimperi,Chromista,Ochrophyta,Phaeophyceae,Dictyotales,Dictyotaceae,Stypopodium,,schimperi,
Undaria pinnatifida,145721,exact,Undaria pinnatifida,accepted,145721,Undaria pinnatifida,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Undaria,,pinnatifida,
Anadara inaequivalvis,138785,exact,Anadara inaequivalvis,accepted,138785,Anadara inaequivalvis,Animalia,Mollusca,Bivalvia,Arcida,Arcidae,Anadara,,inaequivalvis,
Blackfordia virginica,117313,exact,Blackfordia virginica,accepted,117313,Blackfordia virginica,Animalia,Cnidaria,Hydrozoa,Leptothecata,Blackfordiidae,Blackfordia,,virginica,
Grandidierella japonica,238740,exact,Grandidierella japonica,accepted,238740,Grandidierella japonica,Animalia,Arthropoda,Malacostraca,Amphipoda,Aoridae,Grandidierella,,japonica,
Maeotias marginata,234026,exact,Maeotias marginata,accepted,234026,Maeotias marginata,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Maeotias,,marginata,
Neogobius fluviatilis,126913,exact,Neogobius fluviatilis,accepted,126913,Neogobius fluviatilis,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Neogobius,,fluviatilis,
Babka gymnotrachelus,1016384,exact,Babka gymnotrachelus,accepted,1016384,Babka gymnotrachelus,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Babka,,gymnotrachelus,
Ponticola kessleri,1021174,exact,Ponticola kessleri,accepted,1021174,Ponticola kessleri,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Ponticola,,kessleri,
Neosiphonia harveyi,233888,exact,Neosiphonia harveyi,unaccepted,1027787,Melanothamnus harveyi,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Neosiphonia,,harveyi,
Polysiphonia morrowii,232563,exact,Polysiphonia morrowii,accepted,232563,Polysiphonia morrowii,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Polysiphonia,,morrowii,
Potamothrix vejdovskyi,137565,exact,Potamothrix vejdovskyi,accepted,137565,Potamothrix vejdovskyi,Animalia,Annelida,Clitellata,Haplotaxida,Naididae,Potamothrix,,vejdovskyi,
Spondylus spinosus,141552,exact,Spondylus spinosus,accepted,141552,Spondylus spinosus,Animalia,Mollusca,Bivalvia,Pectinida,Spondylidae,Spondylus,,spinosus,
