Baltic,North sea,est/cand,ScientificName_accepted,AphiaID_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,Form,Area of origin,Sub basins,First observed year,Status,Characteristics,Salinityn max,Salinity n min,Salinity b max,Salinity b min,Vector,Impact,Impact severeness,Comments
yes,yes,est,Fibrocapsa japonica,233761,Chromista,Ochrophyta,Raphidophyceae,Chattonellales,Chattonellaceae,Fibrocapsa,,japonica,,,,,,,,40,10,,,,,,
yes,yes,est,Ficopomatus enigmaticus,130988,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Ficopomatus,,enigmaticus,,Benthic,CryptogenicIndoPacific 2°Black Sea,K,1953,Established,Benthic suspension feeder. T > 1°C,40,5,30,5,Shipping Fisheries (oyster vector),"Habitat change, aquatic transport, water abstractions, water quality",,
yes,yes,est,Gammarus tigrinus,102296,Animalia,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,,tigrinus,,Free swimming,North America,"CL, GoF, GoR, K, OL, VL, GoB11, GoG22",1975,Established,Nektobenthic invertebrate. ,30,0,30,0,Shipping,"Competition, transfer of parasites and diseases, fisheries",,
yes,yes,est,Gracilaria vermiculophylla,236157,Plantae,Rhodophyta,Florideophyceae,Gracilariales,Gracilariaceae,Gracilaria,,vermiculophylla,,Fouling,Japan Sea,"K, LF11",20039,Established 9,Phytobenthic red alga.  (or survival 250 psu and reprod. at 5> psu). Temp minimum at 5 C or lower.,40,18,18,10,Shipping,Competition,,
yes,yes,est,Grateloupia turuturu,295880,Plantae,Rhodophyta,Florideophyceae,Halymeniales,Halymeniaceae,Grateloupia,,turuturu,,,"Japan, Korea",,,,"It can use the littoral zone in both marine and brackish waters in sheltered or exposed areas. Adult temperature range 328°C, adult salinity range 1252ppt but for optimal growth it prefers salinities between 2237ppt and temperatures around 25°C. It attaches itself to solid substrates.",52,12,,,"Associated with oysters for aquaculture, shipping (hull fouling, ballast water)","Competition, habitat change, constructions",,"On the east coast of USA it reduces abundance and species richness of invertebrates in comparison with assemblages living with the native species Chondrus crispus. It is the major competitor with the native Chondrus crispus. In France is has resulted in the displacement of native species. It is fouling shellfish and aquaculture facilities in coastal lagoons, as well as by growing on fishing nets."
no,yes,est,Grateloupia doryphora,145247,Plantae,Rhodophyta,Florideophyceae,Halymeniales,Halymeniaceae,Grateloupia,,doryphora,,,,,,,,,,,,,,,
no,yes,est,Halophila stipulacea,145714,Plantae,Tracheophyta,Magnoliopsida,Alismatales,Hydrocharitaceae,Halophila,,stipulacea,,,"Western Idnian Ocean, Red Sea and East Africa, Persian Gulf southwest coast of India",,,,"Marine seagrass with a wide ecological range and tropical to subtropical affinty. It copes well with hypersalinity (up to 60 psu) and is euryhaline in nature. In the Arabian Gulf, it tolerates extreme conditions with salinity varying from 3870 psu and temperatures of 1039°C (inshore) and 1933°C (offshore).",70,38,,,"Currents and vesselborne plant fragments, fruits",Competition,,"Outcompeting the native Mediterranean seagrasses, can induce changes in sublittoral communities
"
yes,yes,est,Hemigrapsus sanguineus,158417,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,,sanguineus,,,Asia,,,,,33,15,,,,,,
yes,yes,est,Hemigrapsus takanoi,389288,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,,takanoi,,,"Western Pacific Ocean, from northern Japan and some areas of Russia's coast to China",,,,"It is found in low hydrodynamic zone, under boulders covering the softbottom Cabi.org: In its native range it can be commonly found in bays and estuaries, including areas where salinities and temperatures fluctuate highly (735 per mil and 12.520ºC, respectively). Adults have a wide tolerance range of water salinity, thereby enhancing its ability to colonize coastal habitats with high fluctuations in salinity.",35,7,,,Shipping (ballast water),"Competition, Habitat change",,"Nord See, von Karin.
Two years after its first observation in the Opal coast it is now common in all this area. It shows high colonisation potential. Drastic reduction in the number of juvenile C.maenas in some Dutch shore with very high densities of H.takanoi and in Dunkirk harbour it."
yes,yes,est,Hemimysis anomala,120025,Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Hemimysis,,anomala,,Free swimming,PontoCaspian,"BP, CL, GoB, GoF, OL, VL",1962,Established,Nektobenthic invertebrate. ,0.5,0,10,0,Stocking,Competition,,
yes,yes,est,Hydroides dianthus,131000,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Hydroides,,dianthus,,,Pacific21,,,,,50,28,,,,,,
no,yes,est,Hydroides elegans,131002,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Hydroides,,elegans,,,North America,,,,,,,,,,,,
yes,yes,est,Karenia mikimotoi,233024,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Kareniaceae,Karenia,,mikimotoi,,Phytoplanktic/Cysts,Unknown,"K, LF11",19689,Established,"Phytoplankton, autotroph. ",40,18,,,Shipping,"Competition, fisheries, toxicity",,
no,yes,est,Lophocladia lallemandii,144835,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Lophocladia,,lallemandii,,,IndoPacific,,,,"Marine habitats. It is able to cover a variety of substrata (bare bedrocks, rocky reefs with macrophytic communities with Posidonia oceanica meadows.",,,,,"Canals, shipping","Competition, Habitat change, water quality",,"Negative effect on the protected species Posidonia oceanica. It outcompetes native species, becoming dominant and desplaces key species and the associated fauna. The production of cytotoxic compounds resulted in the avoidance of herbivours fish. The largescale modification of submarine landscapes by L.lallemandii with the overgrowth of benthic assemblages may reduce the aesthetic value of the ecosystem and recreation."
yes,yes,est,Marenzelleria neglecta,181523,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Marenzelleria,,neglecta,,Benthic,North America,"BP, CL, GoB, GoF, GoR, K, OL, VL",1985,Established,"Benthic deposit feeder, Benthic suspension feeder. ",40,3,30,0.5,Shipping,"Competition, habitat change, fisheries",,
no,yes,est,Marenzelleria viridis,131135,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Marenzelleria,,viridis,,Benthic,North America,"GoB, K, BP11, OL11, KF11, VL11",2005,Established,Benthic deposit feeder. ,30,0,,,Shipping,Unknown,,
no,yes,est,Microcosmus squamiger,236666,Animalia,Chordata,Ascidiacea,Stolidobranchia,Pyuridae,Microcosmus,,squamiger,,,Australia,,,,"Salinity opimum 3036PSU, 1536 tolerated, Temperature opimum 1225, 1030 °C tolerated. Lives on natural and artificial substrates, in introduced areas mostly inside marinas, harbour and aquaculture facilities.",36,15,,,"Hull fouling, aquaculture, not clear whether the shortlived larvae can survive in ballast water","Competition, constructions, fisheries, aquaculture",,"Mainly inhabits artificial substrates in the indroduced area and nor protected area has been threated. Dense populatons can sometimes be found in shallow waters outcompeting other species. Negatively impacts on aquaculture/fisheries. Its fouling capacity can also have an impact on immersed structures, pipelines etc., although this has never been formally reported."
no,yes,est,Mnemiopsis leidyi,106401,Animalia,Ctenophora,Tentaculata,Lobata,Bolinopsidae,Mnemiopsis,,leidyi,,Free swimming,North America,"BP, GoB5, GoF5, K, OL, LF11, KF11",2006,Unknown11,Zooplankton predator. ,40,2,28,4.5,Shipping,"Competition, predation, fisheries",,
yes,yes,est,Mytilopsis leucophaeata,156887,Animalia,Mollusca,Bivalvia,Myida,Dreissenidae,Mytilopsis,,leucophaeata,,Fouling,"Africa, NW coast 2°Atlantic Coast","GoF, GoB11, K11",1930’s,Established,Benthic suspension feeder. ,30,0,10,0,Shipping,"Competition, aquatic transport, water abstractions",,
yes,yes,est,Mytilus galloprovincialis,140481,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,,galloprovincialis,,,,,,,,38,12,,,,,,
yes,yes,est,Neogobius melanostomus,126916,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Neogobius,,melanostomus,,Free swimming,PontoCaspian,"BP, CL, GoG, GoF, GoR, K, VL, GoB11, OL11",1990,Established,"Fish, predator. ",40,4,19,4,Shipping,"Competition, habitat change, fisheries",,
yes,no,est,Palaemon elegans,107614,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,,elegans,,Free swimming,North Sea,"BP, GoF, K, VL, CL11, OL11, LF11, KF11",1920’s,Unknown (Not alien in Denmark),Benthic omnivor. ,,,5,0.5,Shipping,Competition,,
yes,yes,est,Palaemon macrodactylus,181372,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,,macrodactylus,,,,,,,,36,1,,,,,,"Nord See, von Karin"
