Species.Name,AphiaID,Match type,ScientificName,Authority,Taxon status,AphiaID_accepted,ScientificName_accepted,Authority_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies
Echinogammarus stoerensis,102267,exact,Echinogammarus stoerensis,"(Reid, 1938)",accepted,102267,Echinogammarus stoerensis,"(Reid, 1938)",Animalia,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Echinogammarus,,stoerensis,
Einhornia crustulenta,467577,exact,Einhornia crustulenta,"(Pallas, 1766)",accepted,467577,Einhornia crustulenta,"(Pallas, 1766)",Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Electridae,Einhornia,,crustulenta,
Elachista fucicola,144937,exact,Elachista fucicola,"(Velley) Areschoug, 1842",accepted,144937,Elachista fucicola,"(Velley) Areschoug, 1842",Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,Elachista,,fucicola,
Electra crustulenta,111353,exact,Electra crustulenta,"(Pallas, 1766)",unaccepted,467577,Einhornia crustulenta,"(Pallas, 1766)",Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Electridae,Electra,,crustulenta,
Electra pilosa,111355,exact,Electra pilosa,"(Linnaeus, 1767)",accepted,111355,Electra pilosa,"(Linnaeus, 1767)",Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Electridae,Electra,,pilosa,
Elminius modestus,106209,exact,Elminius modestus,"Darwin, 1854",unaccepted,712167,Austrominius modestus,"(Darwin, 1854)",Animalia,Arthropoda,Hexanauplia,Sessilia,Austrobalanidae,Elminius,,modestus,
Emplectonema neesii,148606,exact,Emplectonema neesii,"(Örsted, 1843)",accepted,148606,Emplectonema neesii,"(Örsted, 1843)",Animalia,Nemertea,Enopla,Monostilifera,Emplectonematidae,Emplectonema,,neesii,
Enterococcus,565140,exact,Enterococcus,"Thiercelin & Jouhaud, 1903",accepted,565140,Enterococcus,"Thiercelin & Jouhaud, 1903",Bacteria,Firmicutes,Bacili,Lactobacillales,Enterococcaceae,Enterococcus,,,
Enteromorpha,144294,exact,Enteromorpha,"Link, 1820",unaccepted,144296,Ulva,"Linnaeus, 1753",Plantae,Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,Enteromorpha,,,
Enteromorpha ahlneriana,157118,exact,Enteromorpha ahlneriana,"Bliding, 1944",unaccepted,234474,Ulva linza,"Linnaeus, 1753",Plantae,Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,Enteromorpha,,ahlneriana,
Ephemeroptera,235812,exact,Ephemeroptera,,accepted,235812,Ephemeroptera,,Animalia,Arthropoda,Insecta,Ephemeroptera,,,,,
Epiplocylis inflata,730970,exact,Epiplocylis inflata,"Kofoid & Campbell, 1929",accepted,730970,Epiplocylis inflata,"Kofoid & Campbell, 1929",Chromista,Ciliophora,Oligotrichea,Choreotrichida,Epiplocylididae,Epiplocylis,,inflata,
Epithemia,149026,exact,Epithemia,"F.T. Kützing, 1844",accepted,149026,Epithemia,"F.T. Kützing, 1844",Chromista,Ochrophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Epithemia,,,
Epithemia adnata,172276,exact,Epithemia adnata,"(Kützing) Brébisson, 1838",alternate representation,172277,Frustulia adnata,"Kützing, 1833",Chromista,Ochrophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Epithemia,,adnata,
Ericthonius rubricornis,102409,exact,Ericthonius rubricornis,"(Stimpson, 1853)",accepted,102409,Ericthonius rubricornis,"(Stimpson, 1853)",Animalia,Arthropoda,Malacostraca,Amphipoda,Ischyroceridae,Ericthonius,,rubricornis,
Erythrotrichia carnea,145490,exact,Erythrotrichia carnea,"(Dillwyn) J.Agardh, 1883",accepted,145490,Erythrotrichia carnea,"(Dillwyn) J.Agardh, 1883",Plantae,Rhodophyta,Compsopogonophyceae,Erythropeltidales,Erythrotrichiaceae,Erythrotrichia,,carnea,
Escherichia coli,422817,exact,Escherichia coli,"Castellani & Chalmers, 1919",accepted,422817,Escherichia coli,"Castellani & Chalmers, 1919",Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,,coli,
Eucampia cornuta,248058,exact,Eucampia cornuta,"(Cleve) Grunow, 1883",alternate representation,669542,Moelleria cornuta,"Cleve, 1873",Chromista,Ochrophyta,Bacillariophyceae,Hemiaulales,Hemiaulaceae,Eucampia,,cornuta,
Eucampia zodiacus,149131,exact,Eucampia zodiacus,"Ehrenberg, 1839",uncertain,149131,Eucampia zodiacus,"Ehrenberg, 1839",Chromista,Ochrophyta,Bacillariophyceae,Hemiaulales,Hemiaulaceae,Eucampia,,zodiacus,
Euchaeta,104174,exact,Euchaeta,"Philippi, 1843",accepted,104174,Euchaeta,"Philippi, 1843",Animalia,Arthropoda,Hexanauplia,Calanoida,Euchaetidae,Euchaeta,,,
Eudiaptomus graciloides,358605,exact,Eudiaptomus graciloides,"(Lilljeborg, 1888)",accepted,358605,Eudiaptomus graciloides,"(Lilljeborg, 1888)",Animalia,Arthropoda,Hexanauplia,Calanoida,Diaptomidae,Eudiaptomus,,graciloides,
Euglena,8012,exact,Euglena,"Ehrenberg, 1830",accepted,8012,Euglena,"Ehrenberg, 1830",Protozoa,Euglenozoa,Euglenoidea,Euglenida,Euglenaceae,Euglena,,,
Euglenoidea,582177,exact,Euglenoidea,,accepted,582177,Euglenoidea,,Protozoa,Euglenozoa,Euglenoidea,,,,,,
Euplana gracilis,157977,exact,Euplana gracilis,"Girard, 1853",accepted,157977,Euplana gracilis,"Girard, 1853",Animalia,Platyhelminthes,Rhabditophora,Polycladida,Euplanidae,Euplana,,gracilis,
Eurydice pulchra,118852,exact,Eurydice pulchra,"Leach, 1815",accepted,118852,Eurydice pulchra,"Leach, 1815",Animalia,Arthropoda,Malacostraca,Isopoda,Cirolanidae,Eurydice,,pulchra,
Eurytemora affinis,104872,exact,Eurytemora affinis,"(Poppe, 1880)",accepted,104872,Eurytemora affinis,"(Poppe, 1880)",Animalia,Arthropoda,Hexanauplia,Calanoida,Temoridae,Eurytemora,,affinis,
Eutreptiella,17657,exact,Eutreptiella,"A.da Cunha, 1914",accepted,17657,Eutreptiella,"A.da Cunha, 1914",Protozoa,Euglenozoa,Euglenoidea,Eutreptiida,Eutreptiaceae,Eutreptiella,,,
