Species.Name,AphiaID,Match type,ScientificName,Authority,Taxon status,AphiaID_accepted,ScientificName_accepted,Authority_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies
Corophium acutum,102084,exact,Corophium acutum,"Chevreux, 1908",unaccepted,148604,Apocorophium acutum,"(Chevreux, 1908)",Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Corophium,,acutum,
Corophium multisetosum,102096,exact,Corophium multisetosum,"Stock, 1952",accepted,102096,Corophium multisetosum,"Stock, 1952",Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Corophium,,multisetosum,
Corophium volutator,102101,exact,Corophium volutator,"(Pallas, 1766)",accepted,102101,Corophium volutator,"(Pallas, 1766)",Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Corophium,,volutator,
Corycaeus,128634,exact,Corycaeus,"Dana, 1845",accepted,128634,Corycaeus,"Dana, 1845",Animalia,Arthropoda,Hexanauplia,Cyclopoida,Corycaeidae,Corycaeus,,,
Coscinodiscophycidae,148971,exact,Coscinodiscophycidae,"Round & Crawford, 1990",accepted,148971,Coscinodiscophycidae,"Round & Crawford, 1990",Chromista,Ochrophyta,Bacillariophyceae,,,,,,
Coscinodiscopsis commutata,450729,exact,Coscinodiscopsis commutata,"(Grunow) E.A.Sar & I.Sunesen, 2008",alternate representation,148991,Coscinodiscus commutatus,"Grunow, 1884",Chromista,Ochrophyta,Bacillariophyceae,,,Coscinodiscopsis,,commutata,
Coscinodiscus,148917,exact,Coscinodiscus,"C.G. Ehrenberg, 1839",accepted,148917,Coscinodiscus,"C.G. Ehrenberg, 1839",Chromista,Ochrophyta,Bacillariophyceae,Coscinodiscales,Coscinodiscaceae,Coscinodiscus,,,
Coscinodiscus centralis,966480,exact,Coscinodiscus centralis,"A. Schulze, 1879",uncertain,966480,Coscinodiscus centralis,"A. Schulze, 1879",Chromista,Ochrophyta,Bacillariophyceae,Coscinodiscales,Coscinodiscaceae,Coscinodiscus,,centralis,
Coscinodiscus granii,149271,exact,Coscinodiscus granii,"Gough, 1905",accepted,149271,Coscinodiscus granii,"Gough, 1905",Chromista,Ochrophyta,Bacillariophyceae,Coscinodiscales,Coscinodiscaceae,Coscinodiscus,,granii,
Coscinodiscus perforatus,149272,exact,Coscinodiscus perforatus,"Ehrenberg, 1844",accepted,149272,Coscinodiscus perforatus,"Ehrenberg, 1844",Chromista,Ochrophyta,Bacillariophyceae,Coscinodiscales,Coscinodiscaceae,Coscinodiscus,,perforatus,
Coscinodiscus perforatus var. Pavillardii,149272,exact,Coscinodiscus perforatus,"Ehrenberg, 1844",accepted,149272,Coscinodiscus perforatus,"Ehrenberg, 1844",Chromista,Ochrophyta,Bacillariophyceae,Coscinodiscales,Coscinodiscaceae,Coscinodiscus,,perforatus,
Coscinodiscus radiatus,149158,exact,Coscinodiscus radiatus,"Ehrenberg, 1840",uncertain,149158,Coscinodiscus radiatus,"Ehrenberg, 1840",Chromista,Ochrophyta,Bacillariophyceae,Coscinodiscales,Coscinodiscaceae,Coscinodiscus,,radiatus,
Coscinodiscus wailesii,156632,exact,Coscinodiscus wailesii,"Gran & Angst, 1931",uncertain,156632,Coscinodiscus wailesii,"Gran & Angst, 1931",Chromista,Ochrophyta,Bacillariophyceae,Coscinodiscales,Coscinodiscaceae,Coscinodiscus,,wailesii,
Cosmarium,478557,exact,Cosmarium,"Corda ex Ralfs, 1848",accepted,478557,Cosmarium,"Corda ex Ralfs, 1848",Plantae,Charophyta,Conjugatophyceae,Zygnematales,Desmidiaceae,Cosmarium,,,
Cottidae,125589,exact,Cottidae,"Bonaparte, 1831",accepted,125589,Cottidae,"Bonaparte, 1831",Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,,,,
Crangon crangon,107552,exact,Crangon crangon,"(Linnaeus, 1758)",accepted,107552,Crangon crangon,"(Linnaeus, 1758)",Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,,crangon,
Crassostrea gigas,140656,exact,Crassostrea gigas,"(Thunberg, 1793)",alternate representation,836033,Magallana gigas,"(Thunberg, 1793)",Animalia,Mollusca,Bivalvia,Ostreida,Ostreidae,Crassostrea,,gigas,
Crepidula fornicata,138963,exact,Crepidula fornicata,"(Linnaeus, 1758)",accepted,138963,Crepidula fornicata,"(Linnaeus, 1758)",Animalia,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Crepidula,,fornicata,
Crucigenia fenestrata,558759,exact,Crucigenia fenestrata,"(Schmidle) Schmidle, 1900",accepted,558759,Crucigenia fenestrata,"(Schmidle) Schmidle, 1900",Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiophyceae ordo incertae sedis,Trebouxiophyceae incertae sedis,Crucigenia,,fenestrata,
Crucigenia quadrata,178962,exact,Crucigenia quadrata,"Morren, 1830",accepted,178962,Crucigenia quadrata,"Morren, 1830",Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiophyceae ordo incertae sedis,Trebouxiophyceae incertae sedis,Crucigenia,,quadrata,
Crucigenia tetrapedia,178619,exact,Crucigenia tetrapedia,"(Kirchner) Kuntze, 1898",accepted,178619,Crucigenia tetrapedia,"(Kirchner) Kuntze, 1898",Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiophyceae ordo incertae sedis,Trebouxiophyceae incertae sedis,Crucigenia,,tetrapedia,
Crucigeniella rectangularis,447750,exact,Crucigeniella rectangularis,"(Nägeli) Komárek, 1974",unaccepted,840472,Willea rectangularis,"(A.Braun) D.M.John, M.J.Wynne & P.M.Tsarenko, 2014",Plantae,Chlorophyta,Trebouxiophyceae,Oocystales,Oocystaceae,Crucigeniella,,rectangularis,
Crustacea,1066,exact,Crustacea,"Brünnich, 1772",accepted,1066,Crustacea,"Brünnich, 1772",Animalia,Arthropoda,,,,,,,
Cryptomonadales,17640,exact,Cryptomonadales,"Pringsheim, 1944",accepted,17640,Cryptomonadales,"Pringsheim, 1944",Chromista,Cryptophyta,Cryptophyceae,Cryptomonadales,,,,,
Cryptomonas,106282,exact,Cryptomonas,"Ehrenberg, 1831",accepted,106282,Cryptomonas,"Ehrenberg, 1831",Chromista,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas,,,
Cryptosula pallasiana,111343,exact,Cryptosula pallasiana,"(Moll, 1803)",accepted,111343,Cryptosula pallasiana,"(Moll, 1803)",Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Cryptosulidae,Cryptosula,,pallasiana,
Cyanobacteria,146537,exact,Cyanobacteria,"Stanier ex Cavalier-Smith, 2002",accepted,146537,Cyanobacteria,"Stanier ex Cavalier-Smith, 2002",Bacteria,Cyanobacteria,,,,,,,
Cyanodictyon,177108,exact,Cyanodictyon,"Pascher, 1914",accepted,177108,Cyanodictyon,"Pascher, 1914",Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Cyanodictyon,,,
Cyanophthalma obscura,122739,exact,Cyanophthalma obscura,"(Schultze, 1851)",accepted,122739,Cyanophthalma obscura,"(Schultze, 1851)",Animalia,Nemertea,Enopla,Monostilifera,Tetrastemmatidae,Cyanophthalma,,obscura,
Cyanophyceae,146542,exact,Cyanophyceae,"Schaffner, 1909",accepted,146542,Cyanophyceae,"Schaffner, 1909",Bacteria,Cyanobacteria,Cyanophyceae,,,,,,
Cyathura carinata,118474,exact,Cyathura carinata,"(Krøyer, 1847)",accepted,118474,Cyathura carinata,"(Krøyer, 1847)",Animalia,Arthropoda,Malacostraca,Isopoda,Anthuridae,Cyathura,,carinata,
Cyclopidae,106413,exact,Cyclopidae,"Rafinesque, 1815",accepted,106413,Cyclopidae,"Rafinesque, 1815",Animalia,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,,,,
Cyclopoida,1101,exact,Cyclopoida,"Burmeister, 1834",accepted,1101,Cyclopoida,"Burmeister, 1834",Animalia,Arthropoda,Hexanauplia,Cyclopoida,,,,,
Cyclostephanos dubius,148996,exact,Cyclostephanos dubius,"(Hustedt) Round, 1988",alternate representation,976114,Cyclotella dubia var. dubia,"Fricke in Schmidt et al., 1900",Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Stephanodiscaceae,Cyclostephanos,,dubius,
Cyclotella,148905,exact,Cyclotella,"(F.T. Kützing) A. de Brébisson, 1838",accepted,148905,Cyclotella,"(F.T. Kützing) A. de Brébisson, 1838",Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Stephanodiscaceae,Cyclotella,,,
Cyclotella atomus,148907,exact,Cyclotella atomus,"Hustedt, 1937",uncertain,148907,Cyclotella atomus,"Hustedt, 1937",Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Stephanodiscaceae,Cyclotella,,atomus,
Cyclotella choctawhatcheeana,148908,exact,Cyclotella choctawhatcheeana,"Prasad, 1990",uncertain,148908,Cyclotella choctawhatcheeana,"Prasad, 1990",Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Stephanodiscaceae,Cyclotella,,choctawhatcheeana,
Cyclotella meneghiniana,148909,exact,Cyclotella meneghiniana,"Kützing, 1844",accepted,148909,Cyclotella meneghiniana,"Kützing, 1844",Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Stephanodiscaceae,Cyclotella,,meneghiniana,
Cyclotella radiosa,149000,exact,Cyclotella radiosa,"(Grunow) Lemmermann, 1900",alternate representation,984107,Cyclotella comta f. radiosa,"Grunow in Van Heurck, 1882",Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Stephanodiscaceae,Cyclotella,,radiosa,
Cylindrotheca closterium,149004,exact,Cylindrotheca closterium,"(Ehrenberg) Reimann & J.C.Lewin, 1964",accepted,149004,Cylindrotheca closterium,"(Ehrenberg) Reimann & J.C.Lewin, 1964",Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Cylindrotheca,,closterium,
Cylindrotheca gracilis,149570,exact,Cylindrotheca gracilis,"(Brébisson ex Kützing) Grunow, 1882",uncertain,149570,Cylindrotheca gracilis,"(Brébisson ex Kützing) Grunow, 1882",Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Cylindrotheca,,gracilis,
Cymatopleura librile,179674,exact,Cymatopleura librile,"(Ehrenberg) Pantocsek, 1902",alternate representation,179675,Navicula librile,"Ehrenberg, 1832",Chromista,Ochrophyta,Bacillariophyceae,Surirellales,Surirellaceae,Cymatopleura,,librile,
Cymbella lanceolata,149550,exact,Cymbella lanceolata,"(C.Agardh) Kirchner, 1878",unaccepted,163765,Brebissonia lanceolata,"(C.Agardh) Mahoney & Reimer, 1986",Chromista,Ochrophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella,,lanceolata,
Dactyliosolen fragilissimus,149310,exact,Dactyliosolen fragilissimus,"(Bergon) Hasle, 1996",alternate representation,985165,Rhizosolenia fragilissima f. fragilissima,"Bergon, 1903",Chromista,Ochrophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Dactyliosolen,,fragilissimus,
Dactyliosolen phuketensis,248064,exact,Dactyliosolen phuketensis,"(B.G.Sundström) G.R.Hasle, 1996",alternate representation,573582,Rhizosolenia phuketensis,"B.G.Sundström, 1980",Chromista,Ochrophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Dactyliosolen,,phuketensis,
Daphnia,148370,exact,Daphnia,"O.F. Müller, 1785",accepted,148370,Daphnia,"O.F. Müller, 1785",Animalia,Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Daphnia,,,
Daphnia cucullata,148371,exact,Daphnia cucullata,"G.O. Sars, 1862",accepted,148371,Daphnia cucullata,"G.O. Sars, 1862",Animalia,Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Daphnia,,cucullata,
Decapoda,1130,exact,Decapoda,"Latreille, 1802",accepted,1130,Decapoda,"Latreille, 1802",Animalia,Arthropoda,Malacostraca,Decapoda,,,,,
Delphineis minutissima,621926,exact,Delphineis minutissima,"(Hustedt) Simonsen, 1987",alternate representation,611858,Rhaphoneis minutissima,"Hustedt, 1939",Chromista,Ochrophyta,Bacillariophyceae,Rhaponeidales,Rhaphoneidaceae,Delphineis,,minutissima,
Denticula tenuis,179796,exact,Denticula tenuis,"Kützing, 1844",uncertain,179796,Denticula tenuis,"Kützing, 1844",Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Denticula,,tenuis,
Desmodesmus armatus,612499,exact,Desmodesmus armatus,"(R.Chodat) E.Hegewald, 2000",accepted,612499,Desmodesmus armatus,"(R.Chodat) E.Hegewald, 2000",Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Desmodesmus,,armatus,
Desmodesmus bicellularis,249712,exact,Desmodesmus bicellularis,"(R.Chodat) S.S.An, T.Friedl & E.Hegewald, 1999",accepted,249712,Desmodesmus bicellularis,"(R.Chodat) S.S.An, T.Friedl & E.Hegewald, 1999",Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Desmodesmus,,bicellularis,
Desmodesmus communis,576237,exact,Desmodesmus communis,"(E.Hegewald) E.Hegewald, 2000",accepted,576237,Desmodesmus communis,"(E.Hegewald) E.Hegewald, 2000",Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Desmodesmus,,communis,
Desmodesmus intermedius,612504,exact,Desmodesmus intermedius,"(Chodat) E.Hegewald, 2000",accepted,612504,Desmodesmus intermedius,"(Chodat) E.Hegewald, 2000",Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Desmodesmus,,intermedius,
Desmodesmus maximus,249713,exact,Desmodesmus maximus,"(West & G.S.West) Hegewald, 2000",accepted,249713,Desmodesmus maximus,"(West & G.S.West) Hegewald, 2000",Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Desmodesmus,,maximus,
Desmodesmus opoliensis,612508,exact,Desmodesmus opoliensis,"(P.G.Richter) E.Hegewald, 2000",accepted,612508,Desmodesmus opoliensis,"(P.G.Richter) E.Hegewald, 2000",Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Desmodesmus,,opoliensis,
Desmodesmus spinosus,612514,exact,Desmodesmus spinosus,"(Chodat) E.Hegewald, 2000",accepted,612514,Desmodesmus spinosus,"(Chodat) E.Hegewald, 2000",Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Desmodesmus,,spinosus,
Detonula pumila,149647,exact,Detonula pumila,"(Castracane) Gran, 1900",alternate representation,163226,Lauderia pumila,"Castracane, 1886",Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Detonula,,pumila,
Diadema antillarum,124332,exact,Diadema antillarum,"Philippi, 1845",accepted,124332,Diadema antillarum,"Philippi, 1845",Animalia,Echinodermata,Echinoidea,Diadematoida,Diadematidae,Diadema,,antillarum,
Diaphanosoma,234062,exact,Diaphanosoma,"Fischer, 1854",accepted,234062,Diaphanosoma,"Fischer, 1854",Animalia,Arthropoda,Branchiopoda,Ctenopoda,Sididae,Diaphanosoma,,,
Diatoma,149013,exact,Diatoma,"J.B.M. Bory de Saint-Vincent, 1824",accepted,149013,Diatoma,"J.B.M. Bory de Saint-Vincent, 1824",Chromista,Ochrophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Diatoma,,,
Diatoma moniliformis,164000,exact,Diatoma moniliformis,"Kützing, 1833",accepted,164000,Diatoma moniliformis,"Kützing, 1833",Chromista,Ochrophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Diatoma,,moniliformis,
Diatoma tenuis,149014,exact,Diatoma tenuis,"C.Agardh, 1812",accepted,149014,Diatoma tenuis,"C.Agardh, 1812",Chromista,Ochrophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Diatoma,,tenuis,
Diatoma vulgaris,418624,exact,Diatoma vulgaris,"Bory de Saint-Vincent, 1824",accepted,418624,Diatoma vulgaris,"Bory de Saint-Vincent, 1824",Chromista,Ochrophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Diatoma,,vulgaris,
Dictyocha fibula,157463,exact,Dictyocha fibula,"Ehrenberg, 1839",accepted,157463,Dictyocha fibula,"Ehrenberg, 1839",Chromista,Ochrophyta,Dictyochophyceae,Dictyochales,Dictyochaceae,Dictyocha,,fibula,
Dictyocha octonaria,341584,exact,Dictyocha octonaria,"Ehrenberg, 1844",unaccepted,375970,Octactis octonaria,"(Ehrenberg) Hovasse, 1946",Chromista,Ochrophyta,Dictyochophyceae,Dictyochales,Dictyochaceae,Dictyocha,,octonaria,
Dictyocha speculum,157260,exact,Dictyocha speculum,"Ehrenberg, 1839",accepted,157260,Dictyocha speculum,"Ehrenberg, 1839",Chromista,Ochrophyta,Dictyochophyceae,Dictyochales,Dictyochaceae,Dictyocha,,speculum,
Dictyocysta elegans,235766,exact,Dictyocysta elegans,"Ehrenberg, 1854",accepted,235766,Dictyocysta elegans,"Ehrenberg, 1854",Chromista,Ciliophora,Oligotrichea,Choreotrichida,Dictyocystidae,Dictyocysta,,elegans,
Dictyosphaerium pulchellum,178933,exact,Dictyosphaerium pulchellum,"H.C.Wood, 1873",unaccepted,624695,Mucidosphaerium pulchellum,"(H.C.Wood) C.Bock, Proschold & Krienitz, 2011",Plantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Dictyosphaerium,,pulchellum,
Dictyota dichotoma,627953,exact,Dictyota dichotoma,"Suhr, 1839",accepted,627953,Dictyota dichotoma,"Suhr, 1839",Chromista,Ochrophyta,Phaeophyceae,Dictyotales,Dictyotaceae,Dictyota,,dichotoma,
Dinobryon,157240,exact,Dinobryon,"Ehrenberg, 1834",accepted,157240,Dinobryon,"Ehrenberg, 1834",Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,Dinobryon,,,
Dinobryon balticum,160552,exact,Dinobryon balticum,"(Schütt) Lemmermann, 1900",accepted,160552,Dinobryon balticum,"(Schütt) Lemmermann, 1900",Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,Dinobryon,,balticum,
Dinobryon cylindricum,157246,exact,Dinobryon cylindricum,"O.E.Imhof, 1887",accepted,157246,Dinobryon cylindricum,"O.E.Imhof, 1887",Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,Dinobryon,,cylindricum,
Dinobryon divergens,157248,exact,Dinobryon divergens,"O.E.Imhof, 1887",accepted,157248,Dinobryon divergens,"O.E.Imhof, 1887",Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,Dinobryon,,divergens,
Dinobryon faculiferum,160553,exact,Dinobryon faculiferum,"(Willén) Willén, 1992",accepted,160553,Dinobryon faculiferum,"(Willén) Willén, 1992",Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,Dinobryon,,faculiferum,
Dinophysis acuminata,109603,exact,Dinophysis acuminata,"Claparède & Lachmann, 1859",accepted,109603,Dinophysis acuminata,"Claparède & Lachmann, 1859",Chromista,Myzozoa,Dinophyceae,Dinophysiales,Dinophysiaceae,Dinophysis,,acuminata,
Dinophysis caudata,109612,exact,Dinophysis caudata,"Saville-Kent, 1881",accepted,109612,Dinophysis caudata,"Saville-Kent, 1881",Chromista,Myzozoa,Dinophyceae,Dinophysiales,Dinophysiaceae,Dinophysis,,caudata,
Dinophysis norvegica,109637,exact,Dinophysis norvegica,"Claparède & Lachmann, 1859",accepted,109637,Dinophysis norvegica,"Claparède & Lachmann, 1859",Chromista,Myzozoa,Dinophyceae,Dinophysiales,Dinophysiaceae,Dinophysis,,norvegica,
Dinophysis rotundata,162793,exact,Dinophysis rotundata,"Claparède & Lachmann, 1859",unaccepted,156505,Phalacroma rotundatum,"(Claparéde & Lachmann) Kofoid & Michener, 1911",Chromista,Myzozoa,Dinophyceae,Dinophysiales,Dinophysiaceae,Dinophysis,,rotundata,
Dinophysis schroederi,232270,exact,Dinophysis schroederi,"Pavillard, 1909",accepted,232270,Dinophysis schroederi,"Pavillard, 1909",Chromista,Myzozoa,Dinophyceae,Dinophysiales,Dinophysiaceae,Dinophysis,,schroederi,
Diphasia attenuata,117877,exact,Diphasia attenuata,"(Hincks, 1866)",accepted,117877,Diphasia attenuata,"(Hincks, 1866)",Animalia,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae,Diphasia,,attenuata,
Diplodus cervinus,127051,exact,Diplodus cervinus,"(Lowe, 1838)",accepted,127051,Diplodus cervinus,"(Lowe, 1838)",Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,Diplodus,,cervinus,
Diplodus cervinus cervinus,236470,exact,Diplodus cervinus cervinus,"(Lowe, 1838)",alternate representation,127051,Diplodus cervinus,"(Lowe, 1838)",Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,Diplodus,,cervinus,cervinus
Diploneis,149018,exact,Diploneis,"(C. G. Ehrenberg) P.T. Cleve, 1894",accepted,149018,Diploneis,"(C. G. Ehrenberg) P.T. Cleve, 1894",Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis,,,
Diploneis bombus,149194,exact,Diploneis bombus,"(Ehrenberg) Ehrenberg, 1853",uncertain,149194,Diploneis bombus,"(Ehrenberg) Ehrenberg, 1853",Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis,,bombus,
Diploneis crabro,149396,exact,Diploneis crabro,"(Ehrenberg) Ehrenberg, 1854",alternate representation,179893,Pinnularia crabro,"Ehrenberg, 1844",Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis,,crabro,
Diploneis didyma,149195,exact,Diploneis didyma,"(Ehrenberg) Ehrenberg, 1839",alternate representation,662632,Pinnularia didyma,"Ehrenberg, 1844",Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis,,didyma,
Diptera,118088,exact,Diptera,,accepted,118088,Diptera,,Animalia,Arthropoda,Insecta,Diptera,,,,,
Ditylum brightwellii,149023,exact,Ditylum brightwellii,"(T.West) Grunow, 1885",uncertain,149023,Ditylum brightwellii,"(T.West) Grunow, 1885",Chromista,Ochrophyta,Bacillariophyceae,Lithodesmiales,Lithodesmiaceae,Ditylum,,brightwellii,
Dolichospermum,578476,exact,Dolichospermum,"(Ralfs ex Bornet & Flahault) P.Wacklin, L.Hoffmann & J.Komárek, 2009",accepted,578476,Dolichospermum,"(Ralfs ex Bornet & Flahault) P.Wacklin, L.Hoffmann & J.Komárek, 2009",Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Dolichospermum,,,
Dolichospermum affine,625363,exact,Dolichospermum affine,"(Lemmermann) Wacklin, L.Hoffmann & Komárek, 2009",accepted,625363,Dolichospermum affine,"(Lemmermann) Wacklin, L.Hoffmann & Komárek, 2009",Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Dolichospermum,,affine,
Dolichospermum circinale,699631,exact,Dolichospermum circinale,"(Rabenhorst ex Bornet & Flahault) P.Wacklin, L.Hoffmann & J.Komárek, 2009",unaccepted,625408,Dolichospermum sigmoideum,"(Nygaard) Wacklin, L.Hoffmann & Komárek, 2009",Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Dolichospermum,,circinale,
Dolichospermum lemmermannii,625374,exact,Dolichospermum lemmermannii,"(Ricter) P.Wacklin, L.Hoffmann & J.Komárek, 2009",accepted,625374,Dolichospermum lemmermannii,"(Ricter) P.Wacklin, L.Hoffmann & J.Komárek, 2009",Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Dolichospermum,,lemmermannii,
Dolichospermum spiroides,625411,exact,Dolichospermum spiroides,"(Klebhan) Wacklin, L.Hoffmann & Komárek, 2009",accepted,625411,Dolichospermum spiroides,"(Klebhan) Wacklin, L.Hoffmann & Komárek, 2009",Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Dolichospermum,,spiroides,
Dreissena bugensis,505319,exact,Dreissena bugensis,"(Andrusov, 1897)",accepted,505319,Dreissena bugensis,"(Andrusov, 1897)",Animalia,Mollusca,Bivalvia,Myida,Dreissenidae,Dreissena,,bugensis,
Dreissena polymorpha,181566,exact,Dreissena polymorpha,"(Pallas, 1771)",accepted,181566,Dreissena polymorpha,"(Pallas, 1771)",Animalia,Mollusca,Bivalvia,Myida,Dreissenidae,Dreissena,,polymorpha,
Dytiscidae,150718,exact,Dytiscidae,"Leach, 1815",accepted,150718,Dytiscidae,"Leach, 1815",Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,,,,
Ebria tripartita,118051,exact,Ebria tripartita,"(J.Schumann) Lemmermann, 1899",accepted,118051,Ebria tripartita,"(J.Schumann) Lemmermann, 1899",Protozoa,,Ebriophyceae,Ebriales,Ebriaceae,Ebria,,tripartita,
Echinodermata,1806,exact,Echinodermata,"Bruguière, 1791 [ex Klein, 1734]",accepted,1806,Echinodermata,"Bruguière, 1791 [ex Klein, 1734]",Animalia,Echinodermata,,,,,,,
Echinogammarus marinus,102261,exact,Echinogammarus marinus,"(Leach, 1815)",accepted,102261,Echinogammarus marinus,"(Leach, 1815)",Animalia,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Echinogammarus,,marinus,
